k  , blocks.ms, blocks.N, file.ms, file.N, json.ms, json.N, log.ms, log.N
 71,       714,   351039,     552,   4944,    5918, 458803,   2137, 458803
 72,       925,   351039,     577,   4875,    5900, 458803,   1998, 458803
 73,       876,   351039,     652,   4808,    5886, 458803,   2025, 458803
 74,       851,   351039,     652,   4743,    6016, 458803,   2128, 458803
 75,       687,   351039,     579,   4680,    6040, 458803,   2065, 458803
 76,       889,   351039,     649,   4618,    6049, 458803,   2116, 458803
 77,       856,   351039,     646,   4558,    5930, 458803,   2087, 458803
 78,       833,   351039,     710,   4500,    5910, 458803,   2047, 458803
 79,       779,   351039,     617,   4443,    5882, 458803,   2054, 458803
 80,       648,   351039,     598,   4387,    5849, 458803,   2171, 458803
 81,       732,   351039,     520,   4333,    5908, 458803,   2067, 458803
 82,       800,   351039,     560,   4280,    5930, 458803,   2035, 458803
 83,       878,   351039,     603,   4229,    5879, 458803,   2045, 458803
 84,       900,   351039,     628,   4179,    5837, 458803,   2147, 458803
 85,       729,   351039,     536,   4129,    5862, 458803,   2107, 458803
 86,       873,   351039,     578,   4081,    5900, 458803,   2063, 458803
 87,       764,   351039,     542,   4034,    6032, 458803,   2017, 458803
 88,       837,   351039,     574,   3989,    6079, 458803,   2043, 458803
 89,       781,   351039,     536,   3944,    6072, 458803,   2117, 458803
 90,       699,   351039,     585,   3900,    5911, 458803,   2110, 458803
 91,       722,   351039,     511,   3857,    5904, 458803,   1990, 458803
 92,       716,   351039,     523,   3815,    5777, 458803,   2049, 458803
 93,       662,   351039,     546,   3774,    6048, 458803,   2067, 458803
 94,       709,   351039,     564,   3734,    6027, 458803,   2030, 458803
 95,       604,   351039,     582,   3695,    5958, 458803,   2019, 458803
 96,       757,   351039,     576,   3656,    5817, 458803,   2050, 458803
 97,       755,   351039,     545,   3618,    6056, 458803,   2032, 458803
 98,       686,   351039,     534,   3582,    5860, 458803,   2062, 458803
 99,       704,   351039,     533,   3545,    5960, 458803,   2025, 458803
100,       791,   351039,     530,   3510,    6040, 458803,   2023, 458803
101,       782,   351039,     482,   3475,    5890, 458803,   2047, 458803
102,       806,   351039,     490,   3441,    6105, 458803,   2045, 458803
103,       686,   351039,     477,   3408,    5894, 458803,   2104, 458803
104,       732,   351039,     489,   3375,    6080, 458803,   1988, 458803
105,       747,   351039,     480,   3343,    6008, 458803,   2016, 458803
106,       759,   351039,     521,   3311,    5847, 458803,   1947, 458803
107,       649,   351039,     504,   3280,    6037, 458803,   2029, 458803
108,       683,   351039,     475,   3250,    6290, 458803,   2082, 458803
109,       797,   351039,     508,   3220,    6004, 458803,   2014, 458803
110,       702,   351039,     522,   3191,    6054, 458803,   2015, 458803
111,       769,   351039,     514,   3162,    6198, 458803,   1994, 458803
112,       653,   351039,     508,   3134,    5914, 458803,   2017, 458803
113,       727,   351039,     498,   3106,    6014, 458803,   1995, 458803
114,       760,   351039,     507,   3079,    5810, 458803,   2009, 458803
115,       638,   351039,     497,   3052,    5880, 458803,   2052, 458803
116,       613,   351039,     509,   3026,    5877, 458803,   2046, 458803
117,       676,   351039,     480,   3000,    5861, 458803,   2055, 458803
118,       645,   351039,     501,   2974,    5859, 458803,   1962, 458803
119,       697,   351039,     470,   2949,    5814, 458803,   1997, 458803
120,       762,   351039,     438,   2925,    6170, 458803,   2026, 458803
121,       608,   351039,     486,   2901,    5802, 458803,   2049, 458803
122,       653,   351039,     467,   2877,    6050, 458803,   2001, 458803
123,       762,   351039,     448,   2853,    5975, 458803,   2042, 458803
124,       720,   351039,     484,   2830,    5966, 458803,   2036, 458803
125,       730,   351039,     477,   2808,    6123, 458803,   2036, 458803
126,       647,   351039,     451,   2786,    6246, 458803,   2002, 458803
127,       605,   351039,     516,   2764,    6031, 458803,   2246, 458803
